Class, 		Name,		Guns,	Built
Third Rate,	Russel, 	74,	1764 	
Third Rate,	San Antonio, 	74, 
Third Rate,	Sans Pareil, 	80, 
Third Rate,	Saturn, 	74,	1786 	
Third Rate,	Sceptre, 	74,	1803 	
Third Rate,	Spartiate, 	74, 
Third Rate,	Spencer, 	74,	1800 	
Third Rate,	Standard, 	64,	1782 	
Third Rate,	Stately, 	64,	1784 	
Third Rate,	Superb, 	74,	1798 	
Third Rate,	Swiftsure, 	74,	1804 	
Third Rate,	Terrible, 	74,	1785 	
Third Rate,	Theseus, 	74,	1805
Third Rate,	Thunderer, 	74,	1783 	
Third Rate,	Tigre, 		80,
Third Rate,	Tonnant, 	80,
Third Rate,	Tremendous, 	74,	1784 	
Third Rate,	Trident, 	64,	1768 	
Third Rate,	Triumph, 	74,	1764
Third Rate,	Utrecht, 	64, 
Third Rate,	Vanguard, 	74,	1787 	
Third Rate,	Vengeance, 	74,	1774 	
Third Rate,	Veteran, 	64,	1787 	
Third Rate,	Vigilant, 	64,	1774 	
Third Rate,	Warrior, 	74,	1781 	
	

